Computed,Computed sum,Measured forward,Measured forward sum
0.0,0.0,-162.2,-162.2
0.0,0.0,258.8,96.6
0.0,0.0,-212.2,-115.6
0.0,0.0,158.8,43.2
0.0,0.0,-23.2,19.9999999999
0.0,0.0,355.8,375.8
0.0,0.0,48.8,424.6
0.0,0.0,84.8,509.4
0.0,0.0,108.8,618.2
0.0,0.0,133.8,752.0
0.0,0.0,106.8,858.8
0.0,0.0,94.8,953.6
0.0,0.0,37.8,991.4
0.0,0.0,139.8,1131.2
0.0,0.0,249.8,1381.0
0.0,0.0,245.8,1626.8
0.0,0.0,115.8,1742.6
0.0,0.0,252.8,1995.4
0.0,0.0,290.8,2286.2
0.0,0.0,341.8,2628.0
0.0,0.0,121.8,2749.8
0.0,0.0,276.8,3026.6
0.0,0.0,362.8,3389.4
0.0,0.0,487.8,3877.2
0.0,0.0,567.8,4445.0
0.0,0.0,652.8,5097.8
0.0,0.0,408.8,5506.6
0.0,0.0,689.8,6196.4
0.0,0.0,640.8,6837.2
0.0,0.0,334.8,7172.0
0.0,0.0,268.8,7440.8
0.0,0.0,380.8,7821.6
0.0,0.0,425.8,8247.4
0.0,0.0,451.8,8699.2
0.0,0.0,325.8,9025.0
0.0,0.0,528.8,9553.8
0.0,0.0,487.8,10041.6
0.0,0.0,399.8,10441.4
0.0,0.0,607.8,11049.2
0.0,0.0,681.8,11731.0
0.0,0.0,1956.8,13687.8
0.0,0.0,455.8,14143.6
0.0,0.0,520.8,14664.4
0.0,0.0,767.8,15432.2
0.0,0.0,388.8,15821.0
0.0,0.0,48.8,15869.8
0.0,0.0,151.8,16021.6
0.0,0.0,50.8,16072.4
0.0,0.0,79.8,16152.2
0.0,0.0,487.8,16640.0
0.0,0.0,-117.2,16522.8
0.0,0.0,375.8,16898.6
0.0,0.0,4.79999999999,16903.4
0.0,0.0,394.8,17298.2
0.0,0.0,258.8,17557.0
0.0,0.0,166.8,17723.8
0.0,0.0,4.79999999999,17728.6
0.0,0.0,1.79999999999,17730.4
0.0,0.0,358.8,18089.2
0.0,0.0,414.8,18504.0
0.0,0.0,21.8,18525.8
0.0,0.0,254.8,18780.6
0.0,0.0,406.8,19187.4
0.0,0.0,457.8,19645.2
0.0,0.0,358.8,20004.0
0.0,0.0,641.8,20645.8
0.0,0.0,297.8,20943.6
0.0,0.0,414.8,21358.4
