Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,0.0,-379.4,0.0,-379.4
10.0,15.0,0.0,-1294.4,0.0,-1673.8
25.0,40.0,-360.4,-2239.4,-360.4,-3913.2
40.0,80.0,-760.4,-3274.4,-1120.8,-7187.6
55.0,135.0,-706.4,-4020.4,-1827.2,-11208.0
70.0,205.0,-1449.4,-5095.4,-3276.6,-16303.4
85.0,290.0,-2206.4,-5343.4,-5483.0,-21646.8
100.0,390.0,-2055.4,-5454.4,-7538.4,-27101.2
105.0,495.0,-2831.4,-5409.4,-10369.8,-32510.6
110.0,605.0,-3298.4,-5305.4,-13668.2,-37816.0
110.0,715.0,-3557.4,-5774.4,-17225.6,-43590.4
110.0,825.0,-3458.4,-5615.4,-20684.0,-49205.8
110.0,935.0,-4187.4,-5255.4,-24871.4,-54461.2
110.0,1045.0,-4192.4,-4742.4,-29063.8,-59203.6
110.0,1155.0,-4345.4,-3883.4,-33409.2,-63087.0
105.0,1260.0,-4518.4,-3832.4,-37927.6,-66919.4
100.0,1360.0,-4294.4,-3359.4,-42222.0,-70278.8
85.0,1445.0,-3955.4,-2520.4,-46177.4,-72799.2
70.0,1515.0,-4115.4,-2029.4,-50292.8,-74828.6
55.0,1570.0,-3579.4,-1260.4,-53872.2,-76089.0
40.0,1610.0,-2851.4,-891.4,-56723.6,-76980.4
25.0,1635.0,-2304.4,-532.4,-59028.0,-77512.8
10.0,1645.0,-1662.4,0.0,-60690.4,-77512.8
5.0,1650.0,-1150.4,0.0,-61840.8,-77512.8
0.0,1650.0,-925.4,0.0,-62766.2,-77512.8
0.0,1650.0,-750.4,0.0,-63516.6,-77512.8
0.0,1650.0,-663.4,0.0,-64180.0,-77512.8
0.0,1650.0,-491.4,-247.4,-64671.4,-77760.2
0.0,1650.0,-581.4,0.0,-65252.8,-77760.2
0.0,1650.0,-472.4,0.0,-65725.2,-77760.2
0.0,1650.0,-491.4,-252.4,-66216.6,-78012.6
0.0,1650.0,-330.4,0.0,-66547.0,-78012.6
0.0,1650.0,-403.4,-245.4,-66950.4,-78258.0
0.0,1650.0,-364.4,0.0,-67314.8,-78258.0
0.0,1650.0,-435.4,0.0,-67750.2,-78258.0
0.0,1650.0,-354.4,0.0,-68104.6,-78258.0
0.0,1650.0,-347.4,0.0,-68452.0,-78258.0
0.0,1650.0,-271.4,0.0,-68723.4,-78258.0
0.0,1650.0,-292.4,0.0,-69015.8,-78258.0
0.0,1650.0,-354.4,-249.4,-69370.2,-78507.4
5.0,1655.0,-319.4,0.0,-69689.6,-78507.4
0.0,1655.0,-283.4,0.0,-69973.0,-78507.4
5.0,1660.0,0.0,0.0,-69973.0,-78507.4
0.0,1660.0,-303.4,0.0,-70276.4,-78507.4
0.0,1660.0,-251.4,0.0,-70527.8,-78507.4
0.0,1660.0,0.0,0.0,-70527.8,-78507.4
0.0,1660.0,-329.4,-241.4,-70857.2,-78748.8
0.0,1660.0,0.0,0.0,-70857.2,-78748.8
0.0,1660.0,-292.4,0.0,-71149.6,-78748.8
0.0,1660.0,-262.4,0.0,-71412.0,-78748.8
0.0,1660.0,-314.4,0.0,-71726.4,-78748.8
0.0,1660.0,0.0,0.0,-71726.4,-78748.8
0.0,1660.0,0.0,0.0,-71726.4,-78748.8
0.0,1660.0,-239.4,0.0,-71965.8,-78748.8
0.0,1660.0,0.0,0.0,-71965.8,-78748.8
0.0,1660.0,0.0,0.0,-71965.8,-78748.8
0.0,1660.0,0.0,0.0,-71965.8,-78748.8
0.0,1660.0,0.0,0.0,-71965.8,-78748.8
0.0,1660.0,-242.4,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,0.0,-72208.2,-78748.8
0.0,1660.0,0.0,-244.4,-72208.2,-78993.2
0.0,1660.0,0.0,0.0,-72208.2,-78993.2
