Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,0.0,16.0
0.0,0.0,0.0,9.0,0.0,25.0
0.0,0.0,0.0,12.0,0.0,37.0
0.0,0.0,0.0,262.0,0.0,299.0
10.0,10.0,97.0,262.0,97.0,561.0
20.0,30.0,247.0,415.0,344.0,976.0
30.0,60.0,401.0,575.0,745.0,1551.0
40.0,100.0,524.0,738.0,1269.0,2289.0
50.0,150.0,630.0,706.0,1899.0,2995.0
60.0,210.0,673.0,762.0,2572.0,3757.0
60.0,270.0,650.0,726.0,3222.0,4483.0
60.0,330.0,739.0,741.0,3961.0,5224.0
60.0,390.0,637.0,669.0,4598.0,5893.0
60.0,450.0,565.0,614.0,5163.0,6507.0
60.0,510.0,565.0,691.0,5728.0,7198.0
60.0,570.0,605.0,667.0,6333.0,7865.0
60.0,630.0,497.0,708.0,6830.0,8573.0
60.0,690.0,452.0,712.0,7282.0,9285.0
60.0,750.0,414.0,670.0,7696.0,9955.0
50.0,800.0,440.0,504.0,8136.0,10459.0
40.0,840.0,444.0,508.0,8580.0,10967.0
30.0,870.0,446.0,212.0,9026.0,11179.0
20.0,890.0,244.0,20.0,9270.0,11199.0
10.0,900.0,139.0,13.0,9409.0,11212.0
0.0,900.0,62.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,0.0,0.0,9471.0,11212.0
0.0,900.0,2.0,0.0,9473.0,11212.0
0.0,900.0,2.0,0.0,9475.0,11212.0
0.0,900.0,0.0,0.0,9475.0,11212.0
0.0,900.0,0.0,0.0,9475.0,11212.0
0.0,900.0,0.0,0.0,9475.0,11212.0
0.0,900.0,0.0,0.0,9475.0,11212.0
0.0,900.0,0.0,0.0,9475.0,11212.0
