Computed,Computed sum,Measured forward,Measured backward,Measured forward sum,Measured backward sum
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,3.0,2.0,3.0,2.0
10.0,15.0,0.0,49.0,3.0,51.0
25.0,40.0,0.0,49.0,3.0,100.0
40.0,80.0,39.0,263.0,42.0,363.0
55.0,135.0,70.0,668.0,112.0,1031.0
70.0,205.0,264.0,1300.0,376.0,2331.0
85.0,290.0,391.0,1364.0,767.0,3695.0
100.0,390.0,514.0,1408.0,1281.0,5103.0
105.0,495.0,697.0,1370.0,1978.0,6473.0
110.0,605.0,886.0,1416.0,2864.0,7889.0
110.0,715.0,1062.0,1398.0,3926.0,9287.0
110.0,825.0,1064.0,1404.0,4990.0,10691.0
110.0,935.0,1154.0,1422.0,6144.0,12113.0
110.0,1045.0,1155.0,1494.0,7299.0,13607.0
110.0,1155.0,1347.0,1462.0,8646.0,15069.0
105.0,1260.0,1252.0,1249.0,9898.0,16318.0
100.0,1360.0,1292.0,1143.0,11190.0,17461.0
85.0,1445.0,1372.0,714.0,12562.0,18175.0
70.0,1515.0,1322.0,498.0,13884.0,18673.0
55.0,1570.0,1148.0,305.0,15032.0,18978.0
40.0,1610.0,867.0,208.0,15899.0,19186.0
25.0,1635.0,406.0,61.0,16305.0,19247.0
10.0,1645.0,128.0,0.0,16433.0,19247.0
5.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
0.0,1650.0,0.0,0.0,16433.0,19247.0
5.0,1655.0,0.0,0.0,16433.0,19247.0
0.0,1655.0,0.0,0.0,16433.0,19247.0
5.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,0.0,16433.0,19247.0
0.0,1660.0,0.0,1.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
0.0,1660.0,0.0,0.0,16433.0,19248.0
